======NEW GAME======
BLUE: AgentNDASA
GREEN: AgentImp
RED: SimpleMonteCarlo
BLUE: BG2-BG4 t:78
GREEN: GB1-GA3 t:67
RED: RE2-RE4 t:406
BLUE: BF1-BG2 t:111
GREEN: GC2-GC3 t:152
RED: RG2-RG4 t:394
BLUE: BG2-BF1 t:154
GREEN: GC3-GC4 t:149
RED: RF1-RC4 t:385
BLUE: BG4-RC4 t:39
GREEN: GA1-GB1 t:121
RED: RB2-RB4 t:379
BLUE: BF1-BG2 t:26
GREEN: GB1-GA1 t:186
RED: RH2-RH4 t:371
BLUE: BG2-BF3 t:95
GREEN: GA1-GB1 t:236
RED: RC1-RA3 t:365
BLUE: BF3-BG2 t:85
GREEN: GB1-GA1 t:303
RED: RB4-BG4 t:358
BLUE: BE1-BF1 t:101
GREEN: GA1-GB1 t:170
RED: RA3-RB4 t:348
BLUE: BE2-BE4 t:77
GREEN: GB1-GA1 t:166
RED: RB4-BE3 t:341
BLUE: BF2-BE3 t:72
GREEN: GA1-GB1 t:91
RED: RB1-RA3 t:339
BLUE: BE4-RE4 t:108
GREEN: GB1-GA1 t:112
RED: RA1-RC1 t:327
BLUE: BD1-BE1 t:128
GREEN: GA1-GB1 t:103
RED: RG4-GB4 t:320
BLUE: RE4-RE3 t:64
GREEN: GB1-GA1 t:58
RED: RF2-RF3 t:317
BLUE: RE3-RD2 t:129
GREEN: GA1-GB1 t:106
RED: RH1-RH3 t:312
BLUE: RD2-RE1 t:80
=====Game Over=====
BLUE score:1 time:18653 points:1
GREEN score:0 time:17980 points:0
RED score:-1 time:15038 points:-1
======NEW GAME======
BLUE: SimpleMonteCarlo
GREEN: AgentNDASA
RED: AgentImp
BLUE: BB1-BA3 t:403
GREEN: GC2-GC3 t:45
RED: RC2-RC3 t:28
BLUE: BB2-BB4 t:395
GREEN: GF2-GF4 t:81
RED: RB2-RB3 t:57
BLUE: BA3-BC4 t:387
GREEN: GF4-BB4 t:39
RED: RF2-RF3 t:73
BLUE: BC1-BA3 t:382
GREEN: BB4-BA3 t:120
RED: RG1-RH3 t:89
BLUE: BC4-GG3 t:372
GREEN: GH2-GG3 t:57
RED: RC3-RC4 t:54
BLUE: BG2-BG3 t:362
GREEN: GD1-GC2 t:137
RED: RH1-RG1 t:68
BLUE: BG1-BF3 t:354
GREEN: GB1-GA3 t:233
RED: RG1-RH1 t:109
BLUE: BC2-BC3 t:347
GREEN: GC2-GD1 t:360
RED: RH1-RG1 t:239
BLUE: BG3-BG4 t:341
GREEN: GD1-GC2 t:207
RED: RG1-RH1 t:181
BLUE: BC3-BC4 t:335
GREEN: GC2-GD3 t:340
RED: RH1-RG1 t:159
BLUE: BD1-BA4 t:328
GREEN: GD3-GC2 t:344
RED: RG1-RH1 t:495
BLUE: BA4-GG4 t:322
GREEN: GC2-GB1 t:344
